,comment,date,image,is_fake,lemmas,stem
870,"заказывать   майка         супер   майка     получать   носок   в   подарок    качество   майка         качество   носок         доставка        долговато   идти 
",7 апр 2018 в 20:45,True,0,"['заказывать', 'майка', 'супер', 'майка', 'получать', 'носок', 'в', 'подарок', 'качество', 'майка', 'качество', 'носок', 'доставка', 'долговато', 'идти']","['заказыва', 'майк', 'супер', 'майк', 'получа', 'носок', 'в', 'подарок', 'качеств', 'майк', 'качеств', 'носок', 'доставк', 'долговат', 'идт']"
871,"спасибо   виктор   за   такой   крутой   обслуживание   отвечать   быстро   и   без   не   понятный   ситуация   товар   пока   еще   не   приходить   но   я   ждать   и   вы   ждать   еще   раз   огромный   спасибо   виктор 
",7 апр 2018 в 22:57,False,0,"['спасибо', 'виктор', 'за', 'такой', 'крутой', 'обслуживание', 'отвечать', 'быстро', 'и', 'без', 'не', 'понятный', 'ситуация', 'товар', 'пока', 'еще', 'не', 'приходить', 'но', 'я', 'ждать', 'и', 'вы', 'ждать', 'еще', 'раз', 'огромный', 'спасибо', 'виктор']","['спасиб', 'виктор', 'за', 'такой', 'крут', 'обслуживан', 'отвеча', 'быстр', 'и', 'без', 'не', 'понятн', 'ситуац', 'товар', 'пок', 'еще', 'не', 'приход', 'но', 'я', 'ждат', 'и', 'вы', 'ждат', 'еще', 'раз', 'огромн', 'спасиб', 'виктор']"
872,"извинять   а   примерно   в   севастополь   сколько   быть   идти   доставка 
",8 апр 2018 в 0:02,False,0,"['извинять', 'а', 'примерно', 'в', 'севастополь', 'сколько', 'быть', 'идти', 'доставка']","['извиня', 'а', 'примерн', 'в', 'севастопол', 'скольк', 'быть', 'идт', 'доставк']"
873,"первый   раз   в   принцип   заказывать   в   интернет   очень   бояться   за   то   что   деньги   потратить   в   пустой    с   доставка   приходиться   чуткий   подождать   но   ощущение   и   радость   при   получение   перебивать   весь   качество   очень   понравиться   продавец   очень   общительный   отвечать   на   весь   мой   вопрос    еще   и   носочек   как   приятный   бонус   полагать     быть   заказывать   еще 
",8 апр 2018 в 10:34,True,0,"['первый', 'раз', 'в', 'принцип', 'заказывать', 'в', 'интернет', 'очень', 'бояться', 'за', 'то', 'что', 'деньги', 'потратить', 'в', 'пустой', 'с', 'доставка', 'приходиться', 'чуткий', 'подождать', 'но', 'ощущение', 'и', 'радость', 'при', 'получение', 'перебивать', 'весь', 'качество', 'очень', 'понравиться', 'продавец', 'очень', 'общительный', 'отвечать', 'на', 'весь', 'мой', 'вопрос', 'еще', 'и', 'носочек', 'как', 'приятный', 'бонус', 'полагать', 'быть', 'заказывать', 'еще']","['перв', 'раз', 'в', 'принцип', 'заказыва', 'в', 'интернет', 'очен', 'боя', 'за', 'то', 'что', 'деньг', 'потрат', 'в', 'пуст', 'с', 'доставк', 'приход', 'чутк', 'подожда', 'но', 'ощущен', 'и', 'радост', 'при', 'получен', 'перебива', 'ве', 'качеств', 'очен', 'понрав', 'продавец', 'очен', 'общительн', 'отвеча', 'на', 'ве', 'мой', 'вопрос', 'еще', 'и', 'носочек', 'как', 'приятн', 'бонус', 'полага', 'быть', 'заказыва', 'еще']"
874,"заказывать   ребенок   футболка          долго   решаться    не   обман   ли    но   весь   таки   заказывать    продавец   отвечать   на   весь   мой   вопрос    разъяснять   все   деталь    футболка   приходить   точно   как   обещать    носок   в   подарок   полагать    хотеть   отмечать   качество   материал     оно   на   высота    магазин   отличный    все   рекомендовать 
",8 апр 2018 в 20:19,True,0,"['заказывать', 'ребенок', 'футболка', 'долго', 'решаться', 'не', 'обман', 'ли', 'но', 'весь', 'таки', 'заказывать', 'продавец', 'отвечать', 'на', 'весь', 'мой', 'вопрос', 'разъяснять', 'все', 'деталь', 'футболка', 'приходить', 'точно', 'как', 'обещать', 'носок', 'в', 'подарок', 'полагать', 'хотеть', 'отмечать', 'качество', 'материал', 'оно', 'на', 'высота', 'магазин', 'отличный', 'все', 'рекомендовать']","['заказыва', 'ребенок', 'футболк', 'долг', 'реша', 'не', 'обма', 'ли', 'но', 'ве', 'так', 'заказыва', 'продавец', 'отвеча', 'на', 'ве', 'мой', 'вопрос', 'разъясня', 'все', 'детал', 'футболк', 'приход', 'точн', 'как', 'обеща', 'носок', 'в', 'подарок', 'полага', 'хотет', 'отмеча', 'качеств', 'материа', 'он', 'на', 'высот', 'магазин', 'отличн', 'все', 'рекомендова']"
876,"идти   не   долго   качество   отличный   быть   заказывать   еще   виктор   отдельный   спасибо   за   общительность 
",9 апр 2018 в 11:52,True,0,"['идти', 'не', 'долго', 'качество', 'отличный', 'быть', 'заказывать', 'еще', 'виктор', 'отдельный', 'спасибо', 'за', 'общительность']","['идт', 'не', 'долг', 'качеств', 'отличн', 'быть', 'заказыва', 'еще', 'виктор', 'отдельн', 'спасиб', 'за', 'общительн']"
878,"получать   свой   заказ   продавец   доходчиво   объяснять   как   сделать   заказ    качество   на   высота    спасибо 
",9 апр 2018 в 18:18,True,0,"['получать', 'свой', 'заказ', 'продавец', 'доходчиво', 'объяснять', 'как', 'сделать', 'заказ', 'качество', 'на', 'высота', 'спасибо']","['получа', 'сво', 'заказ', 'продавец', 'доходчив', 'объясня', 'как', 'сдела', 'заказ', 'качеств', 'на', 'высот', 'спасиб']"
879,"заказывать   кофта     коллаб   бейп   с   суприм    плюс   полагать   носочек       в   подарок   кофта   отличный   качество     правда   изначально   я   хотеть   другой   худить     но   по   какой   то   причина   он   не   оказываться     обидно     конечно     но   качество   убирать   этот   обида    до   ярославль      км   от   москва   на   СВ    доходить   за      день    я   ожидать   быстро    наверняка     магазин   в   это   не   виноватый    итого   магазин         почта        качество         в   будущее     мочь   быть   заказывать   футболка   или   кроссовка    надеяться   такой   долгий   доставка   в   последующий   случай   не   быть 
",9 апр 2018 в 19:28,True,0,"['заказывать', 'кофта', 'коллаб', 'бейп', 'с', 'суприм', 'плюс', 'полагать', 'носочек', 'в', 'подарок', 'кофта', 'отличный', 'качество', 'правда', 'изначально', 'я', 'хотеть', 'другой', 'худить', 'но', 'по', 'какой', 'то', 'причина', 'он', 'не', 'оказываться', 'обидно', 'конечно', 'но', 'качество', 'убирать', 'этот', 'обида', 'до', 'ярославль', 'км', 'от', 'москва', 'на', 'СВ', 'доходить', 'за', 'день', 'я', 'ожидать', 'быстро', 'наверняка', 'магазин', 'в', 'это', 'не', 'виноватый', 'итого', 'магазин', 'почта', 'качество', 'в', 'будущее', 'мочь', 'быть', 'заказывать', 'футболка', 'или', 'кроссовка', 'надеяться', 'такой', 'долгий', 'доставка', 'в', 'последующий', 'случай', 'не', 'быть']","['заказыва', 'кофт', 'коллаб', 'бейп', 'с', 'супр', 'плюс', 'полага', 'носочек', 'в', 'подарок', 'кофт', 'отличн', 'качеств', 'правд', 'изначальн', 'я', 'хотет', 'другой', 'худ', 'но', 'по', 'какой', 'то', 'причин', 'он', 'не', 'оказыва', 'обидн', 'конечно', 'но', 'качеств', 'убира', 'этот', 'обид', 'до', 'ярославл', 'км', 'от', 'москв', 'на', 'св', 'доход', 'за', 'ден', 'я', 'ожида', 'быстр', 'наверняк', 'магазин', 'в', 'эт', 'не', 'виноват', 'ит', 'магазин', 'почт', 'качеств', 'в', 'будущ', 'моч', 'быть', 'заказыва', 'футболк', 'или', 'кроссовк', 'надея', 'такой', 'долг', 'доставк', 'в', 'послед', 'случа', 'не', 'быть']"
880,"заказывать   впервые   тут   кроссовок                      почта   россия   идти      день    коробка   немного   помяться   в   процесс   транспортировка    но   с   кроссовок   все   хороший    качество   афигенный   все   сделать   добротно   и   аккуратно    нитка   нигде   не   торчать    размер   подходить    так   же   в   подарок   полагать   носочек     огромный   спасибо   виктор    что   помогать   с   размер   и   оформление   заказ    обязательно   быть   заказывать   еще 
",10 апр 2018 в 9:19,True,0,"['заказывать', 'впервые', 'тут', 'кроссовок', 'почта', 'россия', 'идти', 'день', 'коробка', 'немного', 'помяться', 'в', 'процесс', 'транспортировка', 'но', 'с', 'кроссовок', 'все', 'хороший', 'качество', 'афигенный', 'все', 'сделать', 'добротно', 'и', 'аккуратно', 'нитка', 'нигде', 'не', 'торчать', 'размер', 'подходить', 'так', 'же', 'в', 'подарок', 'полагать', 'носочек', 'огромный', 'спасибо', 'виктор', 'что', 'помогать', 'с', 'размер', 'и', 'оформление', 'заказ', 'обязательно', 'быть', 'заказывать', 'еще']","['заказыва', 'вперв', 'тут', 'кроссовок', 'почт', 'росс', 'идт', 'ден', 'коробк', 'немн', 'помя', 'в', 'процесс', 'транспортировк', 'но', 'с', 'кроссовок', 'все', 'хорош', 'качеств', 'афиген', 'все', 'сдела', 'добротн', 'и', 'аккуратн', 'нитк', 'нигд', 'не', 'торча', 'размер', 'подход', 'так', 'же', 'в', 'подарок', 'полага', 'носочек', 'огромн', 'спасиб', 'виктор', 'что', 'помога', 'с', 'размер', 'и', 'оформлен', 'заказ', 'обязательн', 'быть', 'заказыва', 'еще']"
881,"спасибо   большой   за   свитшот    несмотря   на   долгий   доставка   очень   рад   заказ 
",10 апр 2018 в 9:55,True,0,"['спасибо', 'большой', 'за', 'свитшот', 'несмотря', 'на', 'долгий', 'доставка', 'очень', 'рад', 'заказ']","['спасиб', 'больш', 'за', 'свитшот', 'несмотр', 'на', 'долг', 'доставк', 'очен', 'рад', 'заказ']"
883,"кофта   приходить   все   круто    качество          быть   проблема   с   наличие    но   виктор   все   исправлять    очень   он   благодарный    быть   заказывать   еще 
",10 апр 2018 в 18:01,True,0,"['кофта', 'приходить', 'все', 'круто', 'качество', 'быть', 'проблема', 'с', 'наличие', 'но', 'виктор', 'все', 'исправлять', 'очень', 'он', 'благодарный', 'быть', 'заказывать', 'еще']","['кофт', 'приход', 'все', 'крут', 'качеств', 'быть', 'проблем', 'с', 'налич', 'но', 'виктор', 'все', 'исправля', 'очен', 'он', 'благодарн', 'быть', 'заказыва', 'еще']"
886,"заказывать   носок   для   начало    все   приходить   за      день    как   высылать   трек   код    качество   хороший    продавец   общительный    если   что   подсказывать    или   помогать    определенно   заказывать   еще 
",11 апр 2018 в 13:49,True,0,"['заказывать', 'носок', 'для', 'начало', 'все', 'приходить', 'за', 'день', 'как', 'высылать', 'трек', 'код', 'качество', 'хороший', 'продавец', 'общительный', 'если', 'что', 'подсказывать', 'или', 'помогать', 'определенно', 'заказывать', 'еще']","['заказыва', 'носок', 'для', 'нача', 'все', 'приход', 'за', 'ден', 'как', 'высыла', 'трек', 'код', 'качеств', 'хорош', 'продавец', 'общительн', 'если', 'что', 'подсказыва', 'или', 'помога', 'определен', 'заказыва', 'еще']"
888,"ребята   сайт   очень   отличный   качество   не   отличать   свитшот   и   носок   огонь            продавец   отличный 
",11 апр 2018 в 16:35,False,0,"['ребята', 'сайт', 'очень', 'отличный', 'качество', 'не', 'отличать', 'свитшот', 'и', 'носок', 'огонь', 'продавец', 'отличный']","['ребят', 'сайт', 'очен', 'отличн', 'качеств', 'не', 'отлича', 'свитшот', 'и', 'носок', 'огон', 'продавец', 'отличн']"
889,"сегодня   ходить   на   почта   носок   выглядеть   супер   качество         приходить   быстро   за      день                    спасибо   большой   в   дальнейший   я   быть   заказывать   только   у   вы 
",12 апр 2018 в 9:49,True,0,"['сегодня', 'ходить', 'на', 'почта', 'носок', 'выглядеть', 'супер', 'качество', 'приходить', 'быстро', 'за', 'день', 'спасибо', 'большой', 'в', 'дальнейший', 'я', 'быть', 'заказывать', 'только', 'у', 'вы']","['сегодн', 'ход', 'на', 'почт', 'носок', 'выглядет', 'супер', 'качеств', 'приход', 'быстр', 'за', 'ден', 'спасиб', 'больш', 'в', 'дальн', 'я', 'быть', 'заказыва', 'только', 'у', 'вы']"
890,"купить   куртка        качество          порадовать   подарок    куртка   идти      день    продавец   помогать   с   выбор 
",12 апр 2018 в 14:29,False,0,"['купить', 'куртка', 'качество', 'порадовать', 'подарок', 'куртка', 'идти', 'день', 'продавец', 'помогать', 'с', 'выбор']","['куп', 'куртк', 'качеств', 'порадова', 'подарок', 'куртк', 'идт', 'ден', 'продавец', 'помога', 'с', 'выбор']"
891,"заказывать     раз    посылка   приходить   за   неделя     качество   супер    анорак   оригинал   правда   размер     оказываться   я   большой    но   это   ничего   страшный        носочек   в   подарок     очень   яркий    заказ   довольный   быть   заказывать   еще 
",12 апр 2018 в 18:56,True,0,"['заказывать', 'раз', 'посылка', 'приходить', 'за', 'неделя', 'качество', 'супер', 'анорак', 'оригинал', 'правда', 'размер', 'оказываться', 'я', 'большой', 'но', 'это', 'ничего', 'страшный', 'носочек', 'в', 'подарок', 'очень', 'яркий', 'заказ', 'довольный', 'быть', 'заказывать', 'еще']","['заказыва', 'раз', 'посылк', 'приход', 'за', 'недел', 'качеств', 'супер', 'анорак', 'оригина', 'правд', 'размер', 'оказыва', 'я', 'больш', 'но', 'эт', 'ничего', 'страшн', 'носочек', 'в', 'подарок', 'очен', 'ярк', 'заказ', 'довольн', 'быть', 'заказыва', 'еще']"
892,"заказывать     раз   приходить   кроссовок   за     неделя     качество   кроссовок   и   носок   офигенный    в   общий   я   довольный   спасибо   большой   виктор    что   со   все   помогать    быть   заказывать   еще        на   коробка   мой   грешок          носок   классно   пахнуть 
",13 апр 2018 в 13:54,True,0,"['заказывать', 'раз', 'приходить', 'кроссовок', 'за', 'неделя', 'качество', 'кроссовок', 'и', 'носок', 'офигенный', 'в', 'общий', 'я', 'довольный', 'спасибо', 'большой', 'виктор', 'что', 'со', 'все', 'помогать', 'быть', 'заказывать', 'еще', 'на', 'коробка', 'мой', 'грешок', 'носок', 'классно', 'пахнуть']","['заказыва', 'раз', 'приход', 'кроссовок', 'за', 'недел', 'качеств', 'кроссовок', 'и', 'носок', 'офиген', 'в', 'общ', 'я', 'довольн', 'спасиб', 'больш', 'виктор', 'что', 'со', 'все', 'помога', 'быть', 'заказыва', 'еще', 'на', 'коробк', 'мой', 'грешок', 'носок', 'классн', 'пахнут']"
893,"наконец   то   забирать   свой   худить          все   четко     долго   идти    но   это   потому   что   жить   в   жопа   мир      качество   хороший    за   насочек   тоже   спасибо   огромный      виктор   за   консультация   и   помощь   спасибо   отдельно     быть   бабка   быть   еще   заказывать       покупать   шмотки     таскать   и   будт   счастливый 
",13 апр 2018 в 14:16,True,0,"['наконец', 'то', 'забирать', 'свой', 'худить', 'все', 'четко', 'долго', 'идти', 'но', 'это', 'потому', 'что', 'жить', 'в', 'жопа', 'мир', 'качество', 'хороший', 'за', 'насочек', 'тоже', 'спасибо', 'огромный', 'виктор', 'за', 'консультация', 'и', 'помощь', 'спасибо', 'отдельно', 'быть', 'бабка', 'быть', 'еще', 'заказывать', 'покупать', 'шмотки', 'таскать', 'и', 'будт', 'счастливый']","['наконец', 'то', 'забира', 'сво', 'худ', 'все', 'четк', 'долг', 'идт', 'но', 'эт', 'потому', 'что', 'жит', 'в', 'жоп', 'мир', 'качеств', 'хорош', 'за', 'насочек', 'тоже', 'спасиб', 'огромн', 'виктор', 'за', 'консультац', 'и', 'помощ', 'спасиб', 'отдельн', 'быть', 'бабк', 'быть', 'еще', 'заказыва', 'покупа', 'шмотк', 'таска', 'и', 'будт', 'счастлив']"
894,"о   да    это   то    что   я   хотеть    качество   высшка    правда   доставка   немного   подводить    а   еще   спасибо   виктор   зорин    помогать   с   размер 
",13 апр 2018 в 14:33,True,0,"['о', 'да', 'это', 'то', 'что', 'я', 'хотеть', 'качество', 'высшка', 'правда', 'доставка', 'немного', 'подводить', 'а', 'еще', 'спасибо', 'виктор', 'зорин', 'помогать', 'с', 'размер']","['о', 'да', 'эт', 'то', 'что', 'я', 'хотет', 'качеств', 'высшк', 'правд', 'доставк', 'немн', 'подвод', 'а', 'еще', 'спасиб', 'виктор', 'зорин', 'помога', 'с', 'размер']"
895,"наконец   то   приходить   мой   ветровка    доставка   подводить    но   товар   довольный    спасибо   виктор   за   хороший   обслуживание    все   рекомендовать   этот   магазин 
",13 апр 2018 в 16:54,True,0,"['наконец', 'то', 'приходить', 'мой', 'ветровка', 'доставка', 'подводить', 'но', 'товар', 'довольный', 'спасибо', 'виктор', 'за', 'хороший', 'обслуживание', 'все', 'рекомендовать', 'этот', 'магазин']","['наконец', 'то', 'приход', 'мой', 'ветровк', 'доставк', 'подвод', 'но', 'товар', 'довольн', 'спасиб', 'виктор', 'за', 'хорош', 'обслуживан', 'все', 'рекомендова', 'этот', 'магазин']"
896,"приходить   кофтейка    когда   заказывать   думать   хрень   какой   нибудь   паленый   потому   что   не   мочь   нормальный   кофта   стоить   так   дешево     идти      день    качество   вышка    все   аккуратно   прошивать     строчка   ровный     деталь   весь   ровный     качественный     материал   приятный    носок   хрень   полный     краситься     покраситься   стелька   в   цвет   носок   на   мой   оридж   аир    очень   испугаться     химчистка   помогать 
",13 апр 2018 в 17:39,True,0,"['приходить', 'кофтейка', 'когда', 'заказывать', 'думать', 'хрень', 'какой', 'нибудь', 'паленый', 'потому', 'что', 'не', 'мочь', 'нормальный', 'кофта', 'стоить', 'так', 'дешево', 'идти', 'день', 'качество', 'вышка', 'все', 'аккуратно', 'прошивать', 'строчка', 'ровный', 'деталь', 'весь', 'ровный', 'качественный', 'материал', 'приятный', 'носок', 'хрень', 'полный', 'краситься', 'покраситься', 'стелька', 'в', 'цвет', 'носок', 'на', 'мой', 'оридж', 'аир', 'очень', 'испугаться', 'химчистка', 'помогать']","['приход', 'кофтейк', 'когда', 'заказыва', 'дума', 'хрен', 'какой', 'нибудь', 'пален', 'потому', 'что', 'не', 'моч', 'нормальн', 'кофт', 'сто', 'так', 'дешев', 'идт', 'ден', 'качеств', 'вышк', 'все', 'аккуратн', 'прошива', 'строчк', 'ровн', 'детал', 'ве', 'ровн', 'качествен', 'материа', 'приятн', 'носок', 'хрен', 'полн', 'крас', 'покрас', 'стельк', 'в', 'цвет', 'носок', 'на', 'мой', 'оридж', 'аир', 'очен', 'испуга', 'химчистк', 'помога']"
897,,14 апр 2018 в 7:59,False,0,[],[]
898,"любить   вы   ребята   охерить   толстовка   качество         просто   пошив   идиальный   качество          внутри   теплый    принт   идиальный    бирка   оригинал 
",14 апр 2018 в 10:04,True,0,"['любить', 'вы', 'ребята', 'охерить', 'толстовка', 'качество', 'просто', 'пошив', 'идиальный', 'качество', 'внутри', 'теплый', 'принт', 'идиальный', 'бирка', 'оригинал']","['люб', 'вы', 'ребят', 'охер', 'толстовк', 'качеств', 'прост', 'пош', 'идиальн', 'качеств', 'внутр', 'тепл', 'принт', 'идиальн', 'бирк', 'оригина']"
899,"качество   просто   супер   приходить   за     неделя   все   четко   спасибо 
",14 апр 2018 в 16:07,False,0,"['качество', 'просто', 'супер', 'приходить', 'за', 'неделя', 'все', 'четко', 'спасибо']","['качеств', 'прост', 'супер', 'приход', 'за', 'недел', 'все', 'четк', 'спасиб']"
900,"н 
",15 апр 2018 в 20:57,False,0,['н'],['н']
901,"спасибо   вы   большой   качество   оболденный    в   подарок   носок   быть   еще   заказывать   на   ваш   сайт 
",16 апр 2018 в 16:10,True,0,"['спасибо', 'вы', 'большой', 'качество', 'оболденный', 'в', 'подарок', 'носок', 'быть', 'еще', 'заказывать', 'на', 'ваш', 'сайт']","['спасиб', 'вы', 'больш', 'качеств', 'оболден', 'в', 'подарок', 'носок', 'быть', 'еще', 'заказыва', 'на', 'ваш', 'сайт']"
902,"спасибо   большой    все   приходить   в   великолепный   качество   ниточка   нету     носочек   полагать   в   подарок   спасибо   виктор   за   помощь    качество   магазин 
",17 апр 2018 в 13:10,True,0,"['спасибо', 'большой', 'все', 'приходить', 'в', 'великолепный', 'качество', 'ниточка', 'нету', 'носочек', 'полагать', 'в', 'подарок', 'спасибо', 'виктор', 'за', 'помощь', 'качество', 'магазин']","['спасиб', 'больш', 'все', 'приход', 'в', 'великолепн', 'качеств', 'ниточк', 'нет', 'носочек', 'полага', 'в', 'подарок', 'спасиб', 'виктор', 'за', 'помощ', 'качеств', 'магазин']"
903,"очень   круто 
",17 апр 2018 в 13:18,True,0,"['очень', 'круто']","['очен', 'крут']"
904,"заказывать   кроссовок                     качество         продавец         виктор   помогать   определяться   с   размер    отвечать   на   весь   вопрос    посылка   идти     неделя    размер   подходить   идеально     в   подарок   полагать   носочек    виктор   спасибо 
",17 апр 2018 в 17:10,True,0,"['заказывать', 'кроссовок', 'качество', 'продавец', 'виктор', 'помогать', 'определяться', 'с', 'размер', 'отвечать', 'на', 'весь', 'вопрос', 'посылка', 'идти', 'неделя', 'размер', 'подходить', 'идеально', 'в', 'подарок', 'полагать', 'носочек', 'виктор', 'спасибо']","['заказыва', 'кроссовок', 'качеств', 'продавец', 'виктор', 'помога', 'определя', 'с', 'размер', 'отвеча', 'на', 'ве', 'вопрос', 'посылк', 'идт', 'недел', 'размер', 'подход', 'идеальн', 'в', 'подарок', 'полага', 'носочек', 'виктор', 'спасиб']"
905,"заказывать                   топ   кросс   я   понравиться    кстановиться   заказывать     раз   и   все   я   очень   нравиться   советовать   вы   заказывать         виктор   спасибо 
",17 апр 2018 в 17:34,True,0,"['заказывать', 'топ', 'кросс', 'я', 'понравиться', 'кстановиться', 'заказывать', 'раз', 'и', 'все', 'я', 'очень', 'нравиться', 'советовать', 'вы', 'заказывать', 'виктор', 'спасибо']","['заказыва', 'топ', 'кросс', 'я', 'понрав', 'кстанов', 'заказыва', 'раз', 'и', 'все', 'я', 'очен', 'нрав', 'советова', 'вы', 'заказыва', 'виктор', 'спасиб']"
906,"ну   что   приходить   мой      за      день   в   салехард   столица   янао   качество        получать   бесплатно   носок    на   почта   думать   что   посылка   вскрывать   а   это   оказываться   сотрудник   почта   россия   так    аккуратно    укладывать   посылка   так   что   магазин   не   виноватый   спасибо   виктор   помогать   подбирать   размер 
",17 апр 2018 в 18:51,True,0,"['ну', 'что', 'приходить', 'мой', 'за', 'день', 'в', 'салехард', 'столица', 'янао', 'качество', 'получать', 'бесплатно', 'носок', 'на', 'почта', 'думать', 'что', 'посылка', 'вскрывать', 'а', 'это', 'оказываться', 'сотрудник', 'почта', 'россия', 'так', 'аккуратно', 'укладывать', 'посылка', 'так', 'что', 'магазин', 'не', 'виноватый', 'спасибо', 'виктор', 'помогать', 'подбирать', 'размер']","['ну', 'что', 'приход', 'мой', 'за', 'ден', 'в', 'салехард', 'столиц', 'яна', 'качеств', 'получа', 'бесплатн', 'носок', 'на', 'почт', 'дума', 'что', 'посылк', 'вскрыва', 'а', 'эт', 'оказыва', 'сотрудник', 'почт', 'росс', 'так', 'аккуратн', 'укладыва', 'посылк', 'так', 'что', 'магазин', 'не', 'виноват', 'спасиб', 'виктор', 'помога', 'подбира', 'размер']"
907,"сегодня   пригонять   на   почта   за   свой   ремень             качество   просто   ахуенный    вместе   с   ремень   приходить   носок           спасибо   виктор    за   то   что   помогать   отвечать   на   весь   мой   вопрос    потому   что   я   он   очень   сильно   взрывать   мозг   из   за   то   что   бояться   быть   обманывать    но   нет   все   здорово   качество         доставка     выблядский   почта   россия         отзывчивость   персонал           спасибо   большой                   быть   заказывать   еще 
",17 апр 2018 в 21:20,False,0,"['сегодня', 'пригонять', 'на', 'почта', 'за', 'свой', 'ремень', 'качество', 'просто', 'ахуенный', 'вместе', 'с', 'ремень', 'приходить', 'носок', 'спасибо', 'виктор', 'за', 'то', 'что', 'помогать', 'отвечать', 'на', 'весь', 'мой', 'вопрос', 'потому', 'что', 'я', 'он', 'очень', 'сильно', 'взрывать', 'мозг', 'из', 'за', 'то', 'что', 'бояться', 'быть', 'обманывать', 'но', 'нет', 'все', 'здорово', 'качество', 'доставка', 'выблядский', 'почта', 'россия', 'отзывчивость', 'персонал', 'спасибо', 'большой', 'быть', 'заказывать', 'еще']","['сегодн', 'пригоня', 'на', 'почт', 'за', 'сво', 'ремен', 'качеств', 'прост', 'ахуен', 'вмест', 'с', 'ремен', 'приход', 'носок', 'спасиб', 'виктор', 'за', 'то', 'что', 'помога', 'отвеча', 'на', 'ве', 'мой', 'вопрос', 'потому', 'что', 'я', 'он', 'очен', 'сильн', 'взрыва', 'мозг', 'из', 'за', 'то', 'что', 'боя', 'быть', 'обманыва', 'но', 'нет', 'все', 'здоров', 'качеств', 'доставк', 'выблядск', 'почт', 'росс', 'отзывчив', 'персона', 'спасиб', 'больш', 'быть', 'заказыва', 'еще']"
908,"забирать   худить         все   отлично    конечно   быть   друдность    но   я   довольный   заказ    сначала   бояться   брать   т    к   думать   быть   обман    но   отзывчивый   виктор   со   все   я   помогать       желать   все   хороший 
",18 апр 2018 в 17:25,True,0,"['забирать', 'худить', 'все', 'отлично', 'конечно', 'быть', 'друдность', 'но', 'я', 'довольный', 'заказ', 'сначала', 'бояться', 'брать', 'т', 'к', 'думать', 'быть', 'обман', 'но', 'отзывчивый', 'виктор', 'со', 'все', 'я', 'помогать', 'желать', 'все', 'хороший']","['забира', 'худ', 'все', 'отличн', 'конечно', 'быть', 'друдност', 'но', 'я', 'довольн', 'заказ', 'снача', 'боя', 'брат', 'т', 'к', 'дума', 'быть', 'обма', 'но', 'отзывчив', 'виктор', 'со', 'все', 'я', 'помога', 'жела', 'все', 'хорош']"
909,"заказывать   ветровка        очень   классный    по   качество    да    быть   маленький   недочет    но   это   мелочь    самый   главное   что   довольный    идти     неделя    спасибо   магазин             и   виктор    за   быстрый   и   членораздельный   ответ   на   мой   заданный   вопрос 
",18 апр 2018 в 22:07,True,0,"['заказывать', 'ветровка', 'очень', 'классный', 'по', 'качество', 'да', 'быть', 'маленький', 'недочет', 'но', 'это', 'мелочь', 'самый', 'главное', 'что', 'довольный', 'идти', 'неделя', 'спасибо', 'магазин', 'и', 'виктор', 'за', 'быстрый', 'и', 'членораздельный', 'ответ', 'на', 'мой', 'заданный', 'вопрос']","['заказыва', 'ветровк', 'очен', 'классн', 'по', 'качеств', 'да', 'быть', 'маленьк', 'недочет', 'но', 'эт', 'мелоч', 'сам', 'главн', 'что', 'довольн', 'идт', 'недел', 'спасиб', 'магазин', 'и', 'виктор', 'за', 'быстр', 'и', 'членораздельн', 'ответ', 'на', 'мой', 'зада', 'вопрос']"
910,"хотеть   выражать   свой   благодарность    еще   бы   доставка   быстро   вообще   идеально    а   так   все   отлично 
",19 апр 2018 в 14:19,True,0,"['хотеть', 'выражать', 'свой', 'благодарность', 'еще', 'бы', 'доставка', 'быстро', 'вообще', 'идеально', 'а', 'так', 'все', 'отлично']","['хотет', 'выража', 'сво', 'благодарн', 'еще', 'бы', 'доставк', 'быстр', 'вообщ', 'идеальн', 'а', 'так', 'все', 'отличн']"
911,"спасибо   огромный   виктор   за   отличный   кофта   качество         общение         быть   еще   заказывать 
",19 апр 2018 в 16:24,True,0,"['спасибо', 'огромный', 'виктор', 'за', 'отличный', 'кофта', 'качество', 'общение', 'быть', 'еще', 'заказывать']","['спасиб', 'огромн', 'виктор', 'за', 'отличн', 'кофт', 'качеств', 'общен', 'быть', 'еще', 'заказыва']"
912,"надежда   мой   оправдывать     майка   мощнейше   я   подходить   и   с   размер   весь   огонь   качество    шовчик   весь          и   доставка   почти   не   подводить   и   спасибо   виктор      скоро   заказывать   еще   один   майка 
",19 апр 2018 в 16:28,True,0,"['надежда', 'мой', 'оправдывать', 'майка', 'мощнейше', 'я', 'подходить', 'и', 'с', 'размер', 'весь', 'огонь', 'качество', 'шовчик', 'весь', 'и', 'доставка', 'почти', 'не', 'подводить', 'и', 'спасибо', 'виктор', 'скоро', 'заказывать', 'еще', 'один', 'майка']","['надежд', 'мой', 'оправдыва', 'майк', 'мощн', 'я', 'подход', 'и', 'с', 'размер', 'ве', 'огон', 'качеств', 'шовчик', 'ве', 'и', 'доставк', 'почти', 'не', 'подвод', 'и', 'спасиб', 'виктор', 'скор', 'заказыва', 'еще', 'один', 'майк']"
